kappa,lambda_at_sbar,dlnY_dz,dlnR_dz,sbar,kappa_R_star,kappa_Y_star
0.3840000000,0.1944066479,-0.0944066479,-0.0069066479,0.2500000000,0.4233766234,0.9003322259
0.3860000000,0.1940569637,-0.0940569637,-0.0065569637,0.2500000000,0.4233766234,0.9003322259
0.3880000000,0.1937071606,-0.0937071606,-0.0062071606,0.2500000000,0.4233766234,0.9003322259
0.3900000000,0.1933572384,-0.0933572384,-0.0058572384,0.2500000000,0.4233766234,0.9003322259
0.3920000000,0.1930071970,-0.0930071970,-0.0055071970,0.2500000000,0.4233766234,0.9003322259
0.3940000000,0.1926570366,-0.0926570366,-0.0051570366,0.2500000000,0.4233766234,0.9003322259
0.3960000000,0.1923067568,-0.0923067568,-0.0048067568,0.2500000000,0.4233766234,0.9003322259
0.3980000000,0.1919563578,-0.0919563578,-0.0044563578,0.2500000000,0.4233766234,0.9003322259
0.4000000000,0.1916058394,-0.0916058394,-0.0041058394,0.2500000000,0.4233766234,0.9003322259
0.4020000000,0.1912552016,-0.0912552016,-0.0037552016,0.2500000000,0.4233766234,0.9003322259
0.4040000000,0.1909044443,-0.0909044443,-0.0034044443,0.2500000000,0.4233766234,0.9003322259
0.4060000000,0.1905535675,-0.0905535675,-0.0030535675,0.2500000000,0.4233766234,0.9003322259
0.4080000000,0.1902025711,-0.0902025711,-0.0027025711,0.2500000000,0.4233766234,0.9003322259
0.4100000000,0.1898514550,-0.0898514550,-0.0023514550,0.2500000000,0.4233766234,0.9003322259
0.4120000000,0.1895002192,-0.0895002192,-0.0020002192,0.2500000000,0.4233766234,0.9003322259
0.4140000000,0.1891488636,-0.0891488636,-0.0016488636,0.2500000000,0.4233766234,0.9003322259
0.4160000000,0.1887973882,-0.0887973882,-0.0012973882,0.2500000000,0.4233766234,0.9003322259
0.4180000000,0.1884457928,-0.0884457928,-0.0009457928,0.2500000000,0.4233766234,0.9003322259
0.4200000000,0.1880940775,-0.0880940775,-0.0005940775,0.2500000000,0.4233766234,0.9003322259
0.4220000000,0.1877422422,-0.0877422422,-0.0002422422,0.2500000000,0.4233766234,0.9003322259
0.4240000000,0.1873902867,-0.0873902867,0.0001097133,0.2500000000,0.4233766234,0.9003322259
0.4260000000,0.1870382111,-0.0870382111,0.0004617889,0.2500000000,0.4233766234,0.9003322259
0.4280000000,0.1866860153,-0.0866860153,0.0008139847,0.2500000000,0.4233766234,0.9003322259
0.4300000000,0.1863336992,-0.0863336992,0.0011663008,0.2500000000,0.4233766234,0.9003322259
0.4320000000,0.1859812628,-0.0859812628,0.0015187372,0.2500000000,0.4233766234,0.9003322259
0.4340000000,0.1856287060,-0.0856287060,0.0018712940,0.2500000000,0.4233766234,0.9003322259
0.4360000000,0.1852760287,-0.0852760287,0.0022239713,0.2500000000,0.4233766234,0.9003322259
0.4380000000,0.1849232309,-0.0849232309,0.0025767691,0.2500000000,0.4233766234,0.9003322259
0.4400000000,0.1845703125,-0.0845703125,0.0029296875,0.2500000000,0.4233766234,0.9003322259
0.4420000000,0.1842172735,-0.0842172735,0.0032827265,0.2500000000,0.4233766234,0.9003322259
0.4440000000,0.1838641137,-0.0838641137,0.0036358863,0.2500000000,0.4233766234,0.9003322259
0.4460000000,0.1835108332,-0.0835108332,0.0039891668,0.2500000000,0.4233766234,0.9003322259
0.4480000000,0.1831574318,-0.0831574318,0.0043425682,0.2500000000,0.4233766234,0.9003322259
0.4500000000,0.1828039096,-0.0828039096,0.0046960904,0.2500000000,0.4233766234,0.9003322259
0.4520000000,0.1824502664,-0.0824502664,0.0050497336,0.2500000000,0.4233766234,0.9003322259
0.4540000000,0.1820965022,-0.0820965022,0.0054034978,0.2500000000,0.4233766234,0.9003322259
0.4560000000,0.1817426169,-0.0817426169,0.0057573831,0.2500000000,0.4233766234,0.9003322259
0.4580000000,0.1813886104,-0.0813886104,0.0061113896,0.2500000000,0.4233766234,0.9003322259
0.4600000000,0.1810344828,-0.0810344828,0.0064655172,0.2500000000,0.4233766234,0.9003322259
0.4620000000,0.1806802338,-0.0806802338,0.0068197662,0.2500000000,0.4233766234,0.9003322259
0.4640000000,0.1803258636,-0.0803258636,0.0071741364,0.2500000000,0.4233766234,0.9003322259
0.4660000000,0.1799713719,-0.0799713719,0.0075286281,0.2500000000,0.4233766234,0.9003322259
0.4680000000,0.1796167588,-0.0796167588,0.0078832412,0.2500000000,0.4233766234,0.9003322259
0.4700000000,0.1792620242,-0.0792620242,0.0082379758,0.2500000000,0.4233766234,0.9003322259
0.4720000000,0.1789071680,-0.0789071680,0.0085928320,0.2500000000,0.4233766234,0.9003322259
0.4740000000,0.1785521902,-0.0785521902,0.0089478098,0.2500000000,0.4233766234,0.9003322259
0.4760000000,0.1781970907,-0.0781970907,0.0093029093,0.2500000000,0.4233766234,0.9003322259
0.4780000000,0.1778418694,-0.0778418694,0.0096581306,0.2500000000,0.4233766234,0.9003322259
0.4800000000,0.1774865262,-0.0774865262,0.0100134738,0.2500000000,0.4233766234,0.9003322259
0.4820000000,0.1771310612,-0.0771310612,0.0103689388,0.2500000000,0.4233766234,0.9003322259
0.4840000000,0.1767754742,-0.0767754742,0.0107245258,0.2500000000,0.4233766234,0.9003322259
0.4860000000,0.1764197652,-0.0764197652,0.0110802348,0.2500000000,0.4233766234,0.9003322259
0.4880000000,0.1760639341,-0.0760639341,0.0114360659,0.2500000000,0.4233766234,0.9003322259
0.4900000000,0.1757079809,-0.0757079809,0.0117920191,0.2500000000,0.4233766234,0.9003322259
0.4920000000,0.1753519054,-0.0753519054,0.0121480946,0.2500000000,0.4233766234,0.9003322259
