s,lambda_kappa_0,lambda_kappa_0_5,lambda_kappa_1,epsilon,epsilon_plus_alpha_s,s_dagger_kappa_0,s_dagger_kappa_0_5,s_dagger_kappa_1,lambda_max_kappa_0,lambda_max_kappa_0_5,lambda_max_kappa_1
0.0200000000,0.0303348073,0.0195730741,0.0087314383,0.1000000000,0.1070000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0220000000,0.0332658659,0.0214721468,0.0095821351,0.1000000000,0.1077000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0240000000,0.0361785324,0.0233607159,0.0104287653,0.1000000000,0.1084000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0260000000,0.0390728635,0.0252388023,0.0112713323,0.1000000000,0.1091000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0280000000,0.0419489158,0.0271064269,0.0121098398,0.1000000000,0.1098000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0300000000,0.0448067456,0.0289636105,0.0129442915,0.1000000000,0.1105000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0320000000,0.0476464088,0.0308103739,0.0137746908,0.1000000000,0.1112000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0340000000,0.0504679614,0.0326467377,0.0146010415,0.1000000000,0.1119000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0360000000,0.0532714590,0.0344727227,0.0154233472,0.1000000000,0.1126000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0380000000,0.0560569569,0.0362883494,0.0162416113,0.1000000000,0.1133000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0400000000,0.0588245102,0.0380936385,0.0170558376,0.1000000000,0.1140000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0420000000,0.0615741739,0.0398886103,0.0178660295,0.1000000000,0.1147000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0440000000,0.0643060027,0.0416732854,0.0186721907,0.1000000000,0.1154000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0460000000,0.0670200511,0.0434476841,0.0194743248,0.1000000000,0.1161000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0480000000,0.0697163733,0.0452118268,0.0202724354,0.1000000000,0.1168000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0500000000,0.0723950233,0.0469657337,0.0210665259,0.1000000000,0.1175000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0520000000,0.0750560550,0.0487094251,0.0218565999,0.1000000000,0.1182000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0540000000,0.0776995220,0.0504429212,0.0226426612,0.1000000000,0.1189000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0560000000,0.0803254775,0.0521662420,0.0234247130,0.1000000000,0.1196000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0580000000,0.0829339749,0.0538794077,0.0242027591,0.1000000000,0.1203000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0600000000,0.0855250671,0.0555824382,0.0249768030,0.1000000000,0.1210000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0620000000,0.0880988067,0.0572753536,0.0257468483,0.1000000000,0.1217000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0640000000,0.0906552463,0.0589581736,0.0265128983,0.1000000000,0.1224000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0660000000,0.0931944382,0.0606309183,0.0272749568,0.1000000000,0.1231000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0680000000,0.0957164345,0.0622936074,0.0280330272,0.1000000000,0.1238000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0700000000,0.0982212871,0.0639462606,0.0287871131,0.1000000000,0.1245000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0720000000,0.1007090477,0.0655888977,0.0295372179,0.1000000000,0.1252000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0740000000,0.1031797677,0.0672215382,0.0302833453,0.1000000000,0.1259000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0760000000,0.1056334984,0.0688442019,0.0310254986,0.1000000000,0.1266000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0780000000,0.1080702909,0.0704569083,0.0317636815,0.1000000000,0.1273000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
0.0800000000,0.1104901961,0.0720596768,0.0324978974,0.1000000000,0.1280000000,0.4477477442,0.4639363624,0.4826524102,0.3135135345,0.2163818257,0.1040855389
