z,c,G_E,G_L,platform_interval_width
0.5,0.7175,0.0,0.0,0.0
0.5,0.71875,0.0,0.0,0.0
0.5,0.72,0.0,0.0,0.0
0.5,0.72125,0.0,0.0,0.0
0.5,0.7225,0.0,0.0,0.0
0.5,0.72375,0.0,0.0,0.0
0.5,0.7250000000000001,0.0,0.0,0.0
0.5,0.7262500000000001,0.0,0.0,0.0
0.5,0.7275,0.0,0.0,0.0
0.5,0.72875,0.0,0.0,0.0
0.5,0.73,0.0,0.0,0.0
0.5,0.73125,0.0,0.0,0.0
0.5,0.7325,0.0,0.0,0.0
0.5,0.73375,0.0,0.0,0.0
0.5,0.7350000000000001,0.0,0.0,0.0
0.5,0.7362500000000001,0.0,0.0,0.0
0.5,0.7375,0.0,0.0,0.0
0.5,0.73875,0.0,0.0,0.0
0.5,0.74,0.0,0.0,0.0
0.5,0.74125,0.0,0.0,0.0
0.5,0.7424999999999999,0.0,0.0,0.0
0.5,0.74375,0.0,0.0,0.0
0.5,0.745,0.0,0.0,0.0
0.5,0.7462500000000001,0.0,0.0,0.0
0.5,0.7475,0.0,0.0,0.0
0.5,0.74875,0.0,0.0,0.0
0.5,0.75,0.0,0.0,0.0
0.5,0.75125,0.0,0.0,0.0
0.5,0.7525,0.0,0.0,0.0
0.5,0.75375,0.0,0.0,0.0
0.5,0.755,0.0,0.0,0.0
0.5,0.7562500000000001,0.0,0.0,0.0
0.5,0.7575000000000001,0.0,0.0,0.0
0.5,0.75875,0.0,0.0,0.0
0.5,0.76,0.0,0.0,0.0
0.5,0.76125,0.0,0.0,0.0
0.5,0.7625,0.0,0.0,0.0
0.5,0.76375,0.0,0.0,0.0
0.5,0.765,0.0,0.0,0.0
0.5,0.7662500000000001,0.0,0.0,0.0
0.5,0.7675000000000001,0.0,0.0,0.0
0.5,0.76875,0.0,0.0,0.0
0.5,0.77,0.0,0.0,0.0
0.5,0.77125,0.0,0.0,0.0
0.5,0.7725,0.0,0.0,0.0
0.5,0.7737499999999999,0.0,0.0,0.0
0.5,0.775,0.0,0.0,0.0
0.5,0.77625,0.0,0.0,0.0
0.5,0.7775000000000001,0.0,0.0,0.0
0.5,0.77875,0.0,0.0,0.0
0.5,0.78,0.0,0.0,0.0
0.5,0.78125,0.0,0.0,0.0
0.5,0.7825,0.0,0.0,0.0
0.5,0.78375,0.0,0.0,0.0
0.5,0.785,0.0,0.0,0.0
0.5,0.78625,0.0,0.0,0.0
0.5,0.7875000000000001,0.0,0.0,0.0
0.5,0.7887500000000001,0.0,0.0,0.0
0.5,0.79,0.0,0.0,0.0
0.5,0.79125,0.0,0.0,0.0
0.5,0.7925,0.0,0.0,0.0
0.5,0.79375,0.0,0.0,0.0
0.5,0.795,0.0,0.0,0.0
0.5,0.79625,0.0,0.0,0.0
0.5,0.7975000000000001,0.0,0.0,0.0
0.5,0.7987500000000001,0.0,0.0,0.0
0.5,0.8,0.0,0.0,0.0
0.5,0.80125,0.0,0.0,0.0
0.5,0.8025,0.0,0.0,0.0
0.5,0.80375,0.0,0.0,0.0
0.5,0.8049999999999999,0.0,0.0,0.0
0.5,0.80625,0.0,0.0,0.0
0.5,0.8075,0.0,0.0,0.0
0.5,0.8087500000000001,0.0,0.0,0.0
0.5,0.81,0.0,0.0,0.0
0.5,0.81125,0.0,0.0,0.0
0.5,0.8125,0.0,0.0028849645608141944,0.0028849645608141944
0.5,0.81375,0.0,0.01909133327541093,0.01909133327541093
0.5,0.815,0.0,0.03527740629795784,0.03527740629795784
0.5,0.81625,0.0,0.051443235784154225,0.051443235784154225
0.5,0.8175,0.0,0.06758887368451091,0.06758887368451091
0.5,0.8187500000000001,0.0,0.08371437174543701,0.08371437174543701
0.5,0.8200000000000001,0.0,0.09981978151031813,0.09981978151031813
0.5,0.82125,0.0,0.11590515432061312,0.11590515432061312
0.5,0.8225,0.0,0.13197054131689687,0.13197054131689687
0.5,0.82375,0.0,0.1480159934399577,0.1480159934399577
0.5,0.825,0.0,0.16404156143182094,0.16404156143182094
0.5,0.82625,0.0,0.18004729583682844,0.18004729583682844
0.5,0.8275,0.0,0.1960332470026519,0.1960332470026519
0.5,0.8287500000000001,0.0,0.21199946508135598,0.21199946508135598
0.5,0.8300000000000001,0.0,0.22794600003040927,0.22794600003040927
0.5,0.83125,0.0,0.24387290161370645,0.24387290161370645
0.5,0.8325,0.0,0.2597802194025989,0.2597802194025989
0.5,0.83375,0.0,0.2756680027768839,0.2756680027768839
0.5,0.835,0.0,0.2915363009258215,0.2915363009258215
0.5,0.8362499999999999,0.0,0.3073851628491149,0.3073851628491149
0.5,0.8375,0.0,0.32321463735792083,0.32321463735792083
0.5,0.83875,0.0,0.33902477307580053,0.33902477307580053
0.5,0.8400000000000001,0.0,0.35481561843972614,0.35481561843972614
0.5,0.84125,0.0,0.3705872217010328,0.3705872217010328
0.5,0.8425,0.0,0.38633963092638124,0.38633963092638124
0.5,0.84375,0.0,0.40207289399872564,0.40207289399872564
0.5,0.845,0.0,0.4177870586182502,0.4177870586182502
0.5,0.84625,0.0,0.43348217230332425,0.43348217230332425
0.5,0.8475,0.0,0.44915828239143096,0.44915828239143096
0.5,0.84875,0.0,0.4648154360401085,0.4648154360401085
0.5,0.8500000000000001,0.0,0.48045368022786716,0.48045368022786716
0.5,0.8512500000000001,0.0,0.496073061755109,0.496073061755109
0.5,0.8525,0.0,0.5116736272450569,0.5116736272450569
0.5,0.85375,0.0,0.527255423144638,0.527255423144638
0.5,0.855,0.0,0.5428184957254093,0.5428184957254093
0.5,0.85625,0.0,0.5583628910844342,0.5583628910844342
0.5,0.8575,0.0,0.5738886551451894,0.5738886551451894
0.5,0.85875,0.0,0.58939583365843,0.58939583365843
0.5,0.8600000000000001,0.0,0.6048844722030933,0.6048844722030933
0.5,0.8612500000000001,0.0,0.6203546161871513,0.6203546161871513
0.5,0.8625,0.0,0.6358063108484826,0.6358063108484826
0.5,0.86375,0.0,0.6512396012557478,0.6512396012557478
0.5,0.865,0.0,0.6666545323092262,0.6666545323092262
0.5,0.86625,0.0,0.6820511487416833,0.6820511487416833
0.5,0.8674999999999999,0.0,0.697429495119203,0.697429495119203
0.5,0.86875,0.0,0.7127896158420435,0.7127896158420435
0.5,0.87,0.0,0.7281315551454518,0.7281315551454518
0.5,0.8712500000000001,0.0,0.7434553571005159,0.7434553571005159
0.5,0.8725,0.0,0.7587610656149725,0.7587610656149725
0.5,0.87375,0.0066297377786533095,0.7740487244340277,0.7674189866553744
0.5,0.875,0.016438468334570282,0.7893183771411851,0.7728799088066148
0.5,0.87625,0.0262375871980603,0.8045700671590316,0.7783324799609712
0.5,0.8775,0.03602711318789988,0.8198038377500692,0.7837767245621693
0.5,0.87875,0.04580706506766839,0.8350197320174819,0.7892126669498135
0.5,0.88,0.05557746154593519,0.8502177929059561,0.7946403313600209
0.5,0.8812500000000001,0.06533832127648902,0.865398063202457,0.8000597419259681
0.5,0.8825000000000001,0.07508966285855315,0.8805605855370049,0.8054709226784518
0.5,0.88375,0.08483150483698564,0.8957054023834787,0.8108738975464931
0.5,0.885,0.09456386570250908,0.9108325560603572,0.8162686903578481
0.5,0.88625,0.10428676389189881,0.925942088731519,0.8216553248396201
0.5,0.8875,0.1140002177882183,0.9410340424069799,0.8270338246187615
0.5,0.88875,0.1237042457210034,0.956108458943676,0.8324042132226727
0.5,0.89,0.13339886596648415,0.9711653800461949,0.8377665140797108
0.5,0.8912500000000001,0.14308409674779055,0.9862048472675478,0.8431207505197572
0.5,0.8925000000000001,0.1527599562351474,1.0012269020099003,0.8484669457747529
0.5,0.89375,0.16242646254609885,1.0162315855253141,0.8538051229792153
0.5,0.895,0.17208363374568633,1.0312189389164979,0.8591353051708115
0.5,0.89625,0.18173148784667786,1.0461890031375134,0.8644575152908356
0.5,0.8975,0.1913700428097417,1.0611418189945299,0.8697717761847882
0.5,0.8987499999999999,0.20099931654367775,1.0760774271465186,0.8750781106028408
0.5,0.9,0.21061932690558702,1.0909958681060012,0.8803765412004142
0.5,0.90125,0.2202300917010927,1.1058971822397337,0.885667090538641
0.5,0.9025000000000001,0.22983162868452697,1.1207814097694395,0.8909497810849125
0.5,0.90375,0.23942395555912743,1.1356485907724974,0.8962246352133699
0.5,0.905,0.2490070899772457,1.150498765182651,0.9014916752054054
0.5,0.90625,0.2585810495405166,1.165331972790708,0.9067509232501916
0.5,0.9075,0.2681458518000867,1.180148253245219,0.9120024014451322
0.5,0.90875,0.27770151425677086,1.1949476460531823,0.9172461317964113
0.5,0.91,0.2872480543612787,1.20973019058071,0.9224821362194313
0.5,0.91125,0.2967854895143756,1.2244959260537214,0.9277104365393458
