scenario,z,G,nominal_effect,real_effect,nominal_income,real_income,regime
baseline,0.5,0.77,-0.026653355622045294,0.24126243844550238,3.5760278210603196,3.8190739464396333,P
baseline,0.5,0.78,-0.022607978106147897,0.24530781596139978,3.5877749715386598,3.8316194965811956,P
baseline,0.5,0.79,-0.018545199461141693,0.24937059460640598,3.5995928167921103,3.8442405462958273,P
baseline,0.5,0.8,-0.01446504867221815,0.2534507453953295,3.6114817822643785,3.8569375499426832,P
baseline,0.5,0.81,-0.010367555315643817,0.25754823875190386,3.6234422959595034,3.8697109646152628,P
baseline,0.5,0.8200000000000001,-0.006252749555940185,0.2616630445116075,3.6354747884572713,3.8825612501578766,P
baseline,0.5,0.8300000000000001,-0.0021206621430039374,0.26579513192454374,3.6475796929287103,3.89548886918219,P
baseline,0.5,0.84,0.002028675590830531,0.2699444696583782,3.6597574451516897,3.9084942870838852,P
baseline,0.5,0.85,0.006195231733788331,0.274111025801336,3.672008483526605,3.9215779720594113,P
baseline,0.5,0.86,0.01037897379770547,0.27829476786525315,3.684333249092159,3.9347403951228395,P
baseline,0.5,0.87,0.014579868721140254,0.28249566278868793,3.696732185541246,3.947982030122823,P
baseline,0.5,0.88,0.01879788287253925,0.2867136769400869,3.709205739236915,3.9613033537596514,P
baseline,0.5,0.89,0.15332590710572774,0.4212417011732754,7.615327346131746,8.132906038912624,L
baseline,0.5,0.9,0.15863927101598363,0.4265550650835313,7.651383146785132,8.17141238611787,L
baseline,0.5,0.91,0.1639626297075324,0.43187842377508007,7.687655932546811,8.21015046590891,L
baseline,0.5,0.92,0.16929592079547984,0.4372117148630275,7.7241470092409825,8.249121672860795,L
baseline,0.5,0.93,0.17463908196943073,0.4425548760369784,7.760857690550353,8.28832740994119,L
baseline,0.5,0.9400000000000001,0.1799920509966963,0.44790784506424397,7.797789298063411,8.327769088560858,L
baseline,0.5,0.9500000000000001,0.18535476572546805,0.4532705597930157,7.834943161322016,8.367448128624492,L
baseline,0.5,0.96,0.19072716408795654,0.4586429581555042,7.87232061786926,8.407365958581819,L
baseline,0.5,0.97,0.1961091841034976,0.46402497817104527,7.9099230132976155,8.447524015479031,L
baseline,0.5,0.98,0.2015007638816227,0.46941655794917037,7.947751701297377,8.48792374501051,L
baseline,0.5,0.99,0.2069018416250969,0.47481763569264457,7.9858080437054015,8.528566601570887,L
baseline,0.5,1.0,0.21231235563292133,0.480228149700469,8.024093410554121,8.569454048307382,L
baseline,0.5,1.01,0.217732244303302,0.4856480383708497,8.062609180120878,8.610587557172495,L
baseline,0.5,1.02,0.2231614461365839,0.49107724020413157,8.101356738977541,8.651968608976992,L
baseline,0.5,1.03,0.22859989973815126,0.49651569380569893,8.14033748204041,8.693598693443201,L
baseline,0.5,1.04,0.23404754382129228,0.50196333788884,8.179552812620443,8.735479309258661,L
baseline,0.5,1.05,0.23950431721003124,0.5074201112775789,8.21900414247378,8.777611964130067,L
baseline,0.5,1.06,0.24497015884192458,0.5128859529094723,8.258692891852556,8.819998174837542,L
baseline,0.5,1.07,0.25044500777082307,0.5183608018383707,8.298620489556034,8.862639467289249,L
baseline,0.5,1.08,0.2559288031695996,0.5238445972371473,8.338788372982044,8.905537376576323,L
baseline,0.5,1.09,0.2614214843328421,0.5293372784003898,8.379197988178726,8.948693447028129,L
baseline,0.5,1.1,0.26692299067951325,0.5348387847470609,8.419850789896593,8.992109232267866,L
baseline,0.5,1.11,0.2724332617555734,0.5403490558231211,8.460748241640896,9.035786295268492,L
baseline,0.5,1.12,0.27795223723657164,0.5458680313041193,8.501891815724319,9.079726208408994,L
baseline,0.5,1.1300000000000001,0.2834798569302001,0.5513956509977478,8.543282993319966,9.123930553530986,L
baseline,0.5,1.1400000000000001,0.2890160607788163,0.556931854846364,8.584923264514703,9.168400921995666,L
baseline,0.5,1.1500000000000001,0.2945607888619282,0.5624765829294759,8.626814128362792,9.213138914741105,L
baseline,0.5,1.16,0.30011398139864814,0.5680297754661958,8.668957092939856,9.258146142339875,L
baseline,0.5,1.17,0.3056755787501098,0.5735913728176575,8.711353675397168,9.303424225057025,L
baseline,0.5,1.18,0.3112455214218522,0.5791613154893999,8.75400540201628,9.348974792908429,L
baseline,0.5,1.19,0.31682375006616953,0.5847395441337172,8.796913808263952,9.394799485719444,L
baseline,0.5,1.2,0.3224102054844263,0.590325999551974,8.840080438847446,9.440899953183964,L
no_consumer_capture_gap,0.5,0.0,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.01,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.02,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.03,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.04,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.05,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.06,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.07,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.08,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.09,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.1,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.11,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.12,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.13,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.14,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.15,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.16,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.17,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.18,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.19,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.2,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.21,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
no_consumer_capture_gap,0.5,0.22,0.0,0.2679157940675477,2.197802197802198,2.347176681238845,0
