vartheta,G,z,platform_share,nominal_income_effect,real_income_effect,nominal_income,real_income,nominal_income_index,real_income_index,consumer_price_index,regime
0.05,0.17801073614096374,0.6,0.8432917395248677,0.07862619936482959,0.3737783081985333,3.3171401274592984,3.6439966852585552,1.6564941876136416,1.8548854442048919,0.7645187268162622,P
0.05,0.17801073614096374,0.6074999999999999,0.8481838423605624,0.08520041981236814,0.382064764638565,3.319178834617337,3.6543402408796704,1.6575122653636833,1.8601505726943182,0.7596846461256157,P
0.05,0.17801073614096374,0.615,0.852949854981496,0.09167836374454663,0.3902108129880702,3.321381364001027,3.664938995965921,1.6586121517061168,1.8655456040936906,0.7548537924982626,P
0.05,0.17801073614096374,0.6224999999999999,0.857591367764646,0.09805723985443032,0.3982142185720564,3.323745604500386,3.6757910963564915,1.6597927924070899,1.8710695945887839,0.750027199065226,P
0.05,0.17801073614096374,0.63,0.8621100595623525,0.10433460136570974,0.4060731222125331,3.326269396624856,3.6868946377826144,1.6610531090727387,1.876721574859172,0.7452058692116607,P
0.05,0.17801073614096374,0.6375,0.8665076896769397,0.11050833183914119,0.41378602322607005,3.328950539570059,3.6982476731410783,1.6623920026781447,1.882500553780626,0.7403907764212146,P
0.05,0.17801073614096374,0.645,0.870786090067335,0.1165766306447793,0.4213517621683465,3.331786797941064,3.7098482194403406,1.6638083569247584,1.8884055219608593,0.7355828641937728,P
0.05,0.17801073614096374,0.6525,0.8749471578052206,0.12253799820591688,0.42876950343774406,3.334775908132052,3.7216942644176068,1.6653010414262421,1.8944354551077849,0.7307830460323861,P
0.05,0.17801073614096374,0.6599999999999999,0.8789928477954336,0.12839122111250267,0.4360387178409044,3.3379155843640365,3.733783772827026,1.6668689147235498,1.900589317230366,0.7259922054951674,P
0.05,0.17801073614096374,0.6675,0.882925165772644,0.13413535719364209,0.4431591652140675,3.3412035243838742,3.746114692400707,1.6685108271308664,1.906866063672922,0.7212111963079569,P
0.05,0.17801073614096374,0.6749999999999999,0.886746161583826,0.13976972063072188,0.45013087718506095,3.3446374148292013,3.7586849594856986,1.6702256234147193,1.9132646439844911,0.7164408425335884,P
0.05,0.17801073614096374,0.6825,0.8904579227636753,0.14529386718478376,0.4569541401520701,3.3482149362652027,3.771492504361354,1.67201214530921,1.9197840046255035,0.7116819387936496,P
0.05,0.17801073614096374,0.69,0.8940625684079335,0.15070757960407263,0.4636294785468493,3.351933767900155,3.784535256242595,1.673869233870835,1.9264230915145668,0.7069352505387039,P
0.05,0.17801073614096374,0.6975,0.897562243347555,0.1560108532702529,0.4701576384418972,3.3557915919876757,3.7978111479756067,1.675795731676856,1.9331808524186924,0.702201514363035,P
0.05,0.17801073614096374,0.705,0.9009591126248,0.16120388213467313,0.4765395715533531,3.3597860979243577,3.811318120433308,1.6777904848715512,1.9400562391907001,0.6974814383600799,P
0.05,0.17801073614096374,0.7125,0.904255356270647,0.16628704498927915,0.4827764196840056,3.363914986052156,3.8250541266186833,1.6798523450650318,1.9470482098579163,0.6927757025148379,P
0.05,0.17801073614096374,0.72,0.9074531643813942,0.17126089211037376,0.4888694996438617,3.3681759711754347,3.839017135484662,1.6819801710895612,1.9541557305665882,0.6880849591296694,P
0.05,0.17801073614096374,0.7274999999999999,0.9105547324909549,0.17612613230740154,0.4948202886792357,3.37256678580299,3.853205135479724,1.684172830618541,1.9613777773866865,0.6834098332800402,P
0.05,0.17801073614096374,0.735,0.9135622572341423,0.1808836204033175,0.5006304104352672,3.3770851831257227,3.8676161378288043,1.6864292016534808,1.968713337981966,0.6787509232969047,P
0.05,0.17801073614096374,0.7424999999999999,0.9164779322951714,0.18553434516788014,0.5063016214711902,3.381728939740832,3.8822481795593853,1.6887481738843926,1.976161413150324,0.6741088012725756,P
0.05,0.17801073614096374,0.75,0.9193039446346871,0.19007941772040077,0.5118357983425412,3.3864958581335793,3.8970993262828673,1.6911286499291178,1.9837210182395868,0.669484013587078,P
0.05,0.17801073614096374,0.7575,0.9220424709878301,0.19452006041405973,0.5172349252598003,3.3913837689277107,3.912167674741463,1.6935695464571323,1.9913911844439431,0.6648770814521399,P
0.05,0.17801073614096374,0.765,0.9246956746251912,0.19885759620989046,0.5225010823287073,3.396390532915653,3.927451355130929,1.6960697952033716,1.9991709599862717,0.660288501470127,P
0.05,0.17801073614096374,0.7725,0.9272657023679475,0.20309343854487555,0.5276364343736571,3.401514042879527,3.9429485332094667,1.698628343877599,2.0070594111916247,0.6557187462053852,P
0.05,0.17801073614096374,0.78,0.9297546818480363,0.2072290816953428,0.5326432203421555,3.4067522252138938,3.9586574122030638,1.7012441569747638,2.0150556234570955,0.6511682647656059,P
0.05,0.17801073614096374,0.7875,0.9321647190038718,0.21126609163390736,0.5375237432852624,3.4121030413610187,3.9745762345174773,1.703916216491734,2.023158702123259,0.6466374833909855,P
0.05,0.17801073614096374,0.7949999999999999,0.9344978958018618,0.21520609737563423,0.5422803609062858,3.417564489069211,3.9907032832669165,1.7066435225556795,2.031367773252311,0.6421268060490938,P
0.05,0.17801073614096374,0.8025,0.9367562681738099,0.2190507828068109,0.5469154766676443,3.423134603484562,4.007036883629288,1.709425093969257,2.0396819843179212,0.6376366150335158,P
0.05,0.17801073614096374,0.8099999999999999,0.9389418641601882,0.22280187898774562,0.5514315314438114,3.4288114580861526,4.023575404037697,1.7122599686776299,2.0481005048117362,0.6331672715644738,P
0.05,0.17801073614096374,0.8175,0.941056682249247,0.22646115691931246,0.5558309957065488,3.434593165474498,4.040317257217653,1.7151472041621956,2.056622526771345,0.6287191163897672,P
0.05,0.17801073614096374,0.825,0.9431026899019493,0.23003042076151148,0.5601163622271937,3.440477878022685,4.057260901079149,1.7180858777657477,2.065247265234369,0.6242924703845096,P
0.05,0.17801073614096374,0.8325,0.9450818222528121,0.2335115014911192,0.5642901392796034,3.44646378839934,4.074404839472545,1.7210750869536333,2.073973958623224,0.6198876351482624,P
0.05,0.17801073614096374,0.84,0.9469959809768614,0.2369062509845074,0.5683548443264088,3.452549129972227,4.09174762281688,1.7241139495152977,2.0828018690649492,0.6155048935982895,P
0.05,0.17801073614096374,0.8474999999999999,0.9488470333130871,0.24021653651092995,0.5723129981705104,3.4587321771009125,4.109287848608939,1.7272016037104352,2.0917302826503335,0.6111445105577733,P
0.05,0.17801073614096374,0.855,0.950636811234984,0.24344423562096507,0.5761671195532094,3.465011245326601,4.127024161821078,1.7303372083637873,2.1007585096364183,0.6068067333379439,P
0.05,0.17801073614096374,0.8624999999999999,0.9523671107590098,0.24659123141436412,0.5799197201800175,3.4713846914668802,4.144955255195521,1.7335199429124564,2.1098858845963036,0.6024917923131794,P
